Id,MSSubClass,MSZoning,LotArea,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrType,MasVnrArea,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SaleCondition
1480,20,RL,14300,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,BrkFace,1095,2696,0,0,2696,1,0,2,1,3,1,Attchd,2003,Fin,3,958,Normal
1481,60,RL,13650,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,BrkFace,232,1687,563,0,2250,1,0,2,1,3,1,Attchd,2002,Fin,3,756,Normal
1482,120,RL,7132,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,Stone,178,1370,0,0,1370,0,0,2,0,2,1,Attchd,2006,RFn,2,484,Normal
1483,20,RL,18494,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,None,0,1324,0,0,1324,0,0,2,0,3,1,Attchd,2005,Fin,2,430,Normal
1484,120,RL,3203,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,BrkFace,14,1145,0,0,1145,0,0,2,0,2,1,Attchd,2006,Fin,2,437,Normal
1485,80,RL,13300,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,None,0,744,630,0,1374,1,0,2,1,3,1,BuiltIn,2004,Fin,2,400,Normal
1486,60,RL,8577,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,None,0,847,886,0,1733,0,0,2,1,3,1,BuiltIn,2004,Fin,2,433,Normal
1487,60,RL,17433,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,BrkFace,114,1645,830,0,2475,0,0,2,1,4,1,Attchd,1998,Fin,3,962,Normal
1488,20,RL,8987,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,BrkFace,226,1595,0,0,1595,0,0,2,0,2,1,Attchd,2005,RFn,3,880,Normal
1489,20,FV,9215,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2010,Hip,None,0,1218,0,0,1218,0,0,2,0,2,1,Attchd,2009,RFn,2,676,Partial
1490,20,FV,10440,Somerst,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,None,0,1468,0,0,1468,1,0,2,0,2,1,Attchd,2005,Fin,2,528,Normal
1491,60,RL,11920,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,BrkFace,122,831,828,0,1659,0,0,2,1,3,1,Attchd,2004,RFn,2,484,Normal
1492,30,RH,9800,SawyerW,Feedr,Norm,1Fam,1Story,5,5,1920,1950,Gable,None,0,1012,0,0,1012,0,0,1,0,2,1,Detchd,1920,Unf,1,429,Normal
1493,20,RL,15410,Sawyer,RRNe,Norm,1Fam,1Story,6,6,1974,2002,Hip,BrkCmn,250,1494,0,0,1494,1,0,2,0,3,1,Attchd,1974,Fin,2,461,Abnorml
1494,60,RL,13143,NoRidge,Norm,Norm,1Fam,2Story,8,5,1993,1993,Gable,BrkFace,504,1251,1098,0,2349,1,0,2,1,4,1,Attchd,1993,RFn,3,762,Normal
1495,60,RL,11134,NoRidge,Norm,Norm,1Fam,2Story,8,5,1992,1993,Gable,BrkFace,180,1402,823,0,2225,1,0,2,1,4,1,Attchd,1992,RFn,3,713,Normal
1496,120,FV,4835,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,None,0,1488,0,0,1488,1,0,2,0,2,1,Attchd,2004,Fin,2,506,Normal
1497,160,FV,3515,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,None,0,840,840,0,1680,0,0,2,1,2,1,Attchd,2004,RFn,2,588,Normal
1498,160,FV,3215,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,BrkFace,120,600,600,0,1200,0,0,2,1,2,1,Detchd,2004,RFn,2,480,Normal
1499,160,FV,2544,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,None,0,600,600,0,1200,1,0,2,1,2,1,Detchd,2004,RFn,2,480,Normal
1500,160,FV,2544,Somerst,Norm,Norm,Twnhs,2Story,6,5,2005,2005,Gable,BrkFace,216,600,636,0,1236,1,0,2,1,2,1,Detchd,2005,RFn,2,480,Normal
1501,160,FV,2980,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,BrkFace,1159,756,756,0,1512,1,0,2,1,2,1,Detchd,2000,Unf,2,440,Normal
1502,160,FV,2403,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,None,0,530,550,0,1080,0,0,2,1,2,1,Attchd,2003,RFn,2,496,Normal
1503,20,FV,12853,Somerst,Norm,Norm,1Fam,1Story,8,5,2010,2010,Gable,None,0,1418,0,0,1418,1,0,1,1,1,1,Attchd,2010,RFn,3,852,Partial
1504,60,FV,7379,Somerst,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,None,0,975,873,0,1848,1,0,2,1,3,1,Attchd,2000,RFn,2,592,Normal
1505,20,FV,8000,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,None,0,1492,0,0,1492,1,0,2,0,3,1,Attchd,2002,RFn,2,596,Normal
1506,20,RL,10456,NWAmes,Norm,Norm,1Fam,1Story,6,6,1967,1967,Hip,BrkFace,120,1829,0,0,1829,1,0,2,0,4,1,Attchd,1967,RFn,2,535,Normal
1507,60,RL,10791,NWAmes,Norm,Norm,1Fam,2Story,6,5,1993,1993,Gable,None,0,1280,1215,0,2495,1,0,2,1,4,1,Attchd,1993,Unf,2,660,Normal
1508,50,RL,18837,NWAmes,Norm,Norm,1Fam,1.5Fin,6,5,1978,1978,Gable,None,0,1287,604,0,1891,0,1,3,0,3,1,Attchd,1978,RFn,2,678,Normal
1509,60,RL,9600,NWAmes,Norm,Norm,1Fam,2Story,6,6,1971,1971,Gable,None,0,930,715,0,1645,0,0,1,2,4,1,Attchd,1971,RFn,2,441,Normal
1510,20,RL,9600,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,BrkFace,172,1232,0,0,1232,1,0,1,1,3,1,Attchd,1966,RFn,2,490,Normal
1511,20,RL,9900,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,None,0,1209,0,0,1209,1,0,1,0,3,1,Attchd,1966,RFn,2,504,Normal
1512,20,RL,9680,NAmes,Norm,Norm,1Fam,1Story,5,6,1967,1967,Gable,BrkFace,268,1510,0,0,1510,1,0,2,0,3,1,Attchd,1967,RFn,2,517,Normal
1513,80,RL,10600,NAmes,Norm,Norm,1Fam,SLvl,6,5,1964,1964,Gable,None,0,1131,644,0,1775,0,0,2,0,3,1,Attchd,1964,Unf,2,480,Family
1514,90,RL,13260,NAmes,Norm,Norm,Duplex,1Story,5,6,1962,2001,Hip,BrkFace,144,1728,0,0,1728,2,0,2,0,6,2,NA,NA,NA,0,0,Abnorml
1515,50,RL,9724,NAmes,Norm,Norm,1Fam,1.5Fin,5,7,1952,2002,Gable,BrkFace,265,1929,532,0,2461,0,0,2,0,3,1,Detchd,1994,Unf,2,400,Normal
1516,50,RL,17360,NAmes,Artery,Norm,1Fam,1.5Fin,6,6,1949,1950,Gable,Stone,340,1019,537,0,1556,0,0,2,0,3,1,Attchd,1949,Unf,2,470,Normal
1517,85,RL,11380,NAmes,Norm,Norm,1Fam,SFoyer,6,8,1966,2008,Gable,BrkFace,216,1128,0,0,1128,1,0,1,0,2,1,Attchd,1966,Unf,1,315,Normal
1518,90,RL,8267,NAmes,Feedr,Norm,Duplex,1Story,5,5,1958,1958,Gable,None,0,1604,0,0,1604,0,0,2,0,4,2,Attchd,1958,Unf,2,576,Normal
1519,20,RL,8197,NAmes,Norm,Norm,1Fam,1Story,7,5,2003,2009,Gable,BrkFace,506,1480,0,0,1480,1,0,2,0,3,1,Attchd,2003,RFn,2,620,Normal
1520,20,RL,8050,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,150,1143,0,0,1143,1,0,1,0,3,1,Attchd,1959,RFn,1,308,Normal
1521,20,RL,10725,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,91,1206,0,0,1206,0,0,1,0,3,1,Attchd,1959,RFn,1,312,Normal
1522,20,RL,10032,NAmes,Norm,Norm,1Fam,1Story,6,5,1959,1959,Gable,Stone,432,1580,0,0,1580,1,0,1,1,3,1,Attchd,1956,Unf,2,440,Normal
1523,50,RL,8382,NAmes,Norm,Norm,1Fam,1.5Fin,4,5,1956,1956,Gable,None,0,832,505,0,1337,0,0,1,0,3,1,Attchd,1956,Unf,1,263,Normal
1524,20,RL,10950,NAmes,Norm,Norm,1Fam,1Story,5,7,1952,1952,Gable,None,0,1064,0,0,1064,0,1,1,0,2,1,Detchd,1952,Unf,1,318,Normal
1525,20,RL,10895,NAmes,Norm,Norm,1Fam,1Story,5,6,1955,1955,Gable,None,0,972,0,0,972,0,0,1,0,3,1,Attchd,1955,Unf,1,305,Normal
1526,190,RL,13587,NAmes,Norm,Norm,2fmCon,1Story,5,5,1958,1958,Gable,None,0,988,0,0,988,1,0,1,0,2,1,Attchd,1958,Unf,1,264,Abnorml
1527,30,RL,7898,NAmes,Norm,Norm,1Fam,1Story,4,7,1920,1994,Gable,None,0,985,0,0,985,0,1,1,0,2,1,Detchd,1989,Unf,2,676,Normal
1528,50,RL,8064,NAmes,Artery,Norm,1Fam,1.5Fin,6,8,1948,2004,Gable,None,0,816,408,0,1224,1,0,1,0,3,1,Detchd,1950,Unf,1,280,Normal
1529,20,RL,7635,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,None,0,1175,0,0,1175,0,0,1,1,3,1,Detchd,1960,RFn,2,484,Normal
1530,20,RL,9760,NAmes,Norm,Norm,1Fam,1Story,6,7,1963,1984,Hip,BrkFace,218,1395,0,0,1395,1,0,1,0,2,1,Attchd,1963,RFn,2,440,Normal
1531,50,RM,4800,OldTown,Norm,Norm,1Fam,1.5Fin,4,5,1900,1954,Hip,BrkFace,771,1157,687,0,1844,1,0,1,0,3,1,Basment,1900,Unf,1,240,Abnorml
1532,30,RM,4485,OldTown,Artery,Norm,1Fam,1Story,5,7,1920,1950,Gable,None,0,936,0,0,936,1,0,1,0,2,1,NA,NA,NA,0,0,Normal
1533,20,RM,5805,OldTown,Norm,Norm,1Fam,1Story,5,7,1957,1957,Hip,None,0,1347,0,0,1347,1,1,1,0,3,1,Detchd,1957,Unf,2,551,Normal
1534,45,RM,6900,OldTown,Norm,Norm,1Fam,1.5Fin,6,7,1938,2000,Gable,None,0,827,424,0,1251,0,0,1,0,3,1,Detchd,1938,Unf,1,240,Normal
1535,50,RM,11851,OldTown,Artery,Norm,1Fam,1.5Fin,5,7,1948,2009,Gable,None,0,1027,606,0,1633,0,0,1,0,3,1,Detchd,1948,Unf,1,240,Normal
1536,50,RM,8239,OldTown,Artery,Norm,1Fam,1.5Fin,5,6,1920,1962,Gable,None,0,1060,185,0,1245,0,0,1,0,3,1,Detchd,1962,Unf,1,315,Normal
1537,30,RM,9656,OldTown,Norm,Norm,1Fam,1Story,2,2,1923,1970,Gable,None,0,832,0,0,832,0,0,1,0,2,1,Detchd,1928,Unf,2,780,Abnorml
1538,70,RM,9600,OldTown,Norm,Norm,1Fam,2Story,8,9,1900,2003,Gable,None,0,930,636,0,1566,0,0,2,0,3,1,Detchd,1930,Unf,1,288,Abnorml
1539,70,RM,9000,OldTown,Norm,Norm,1Fam,2Story,8,9,1890,2002,Gable,None,0,1157,1111,0,2268,0,0,3,0,3,1,Detchd,2003,Unf,2,624,Normal
1540,190,RM,9045,OldTown,Norm,Norm,2fmCon,2Story,5,3,1910,1950,Gable,None,0,1128,1128,0,2256,0,0,2,0,4,2,NA,NA,NA,0,0,Abnorml
1541,70,RM,10560,OldTown,Norm,Norm,1Fam,2Story,6,7,1922,1994,Gable,None,0,868,602,0,1470,0,0,1,1,2,1,Detchd,1970,Unf,2,624,Normal
1542,50,RM,5830,BrkSide,Feedr,Feedr,1Fam,1.5Fin,5,6,1950,1997,Gable,None,0,1030,582,0,1612,0,0,1,1,3,1,Detchd,1950,Unf,1,363,Normal
1543,75,RL,7793,BrkSide,Norm,Norm,1Fam,2.5Unf,7,7,1922,2005,Gable,None,0,1160,908,0,2068,0,0,1,1,3,1,Detchd,1928,Unf,1,315,Normal
1544,30,RM,5000,BrkSide,Feedr,Norm,1Fam,1Story,4,7,1925,1950,Gable,None,0,765,0,0,765,1,0,1,0,2,1,Detchd,1926,Unf,1,200,Normal
1545,50,RM,6000,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1939,1950,Gable,None,0,608,524,0,1132,1,0,1,0,2,1,Detchd,1939,Unf,1,240,Abnorml
1546,50,RM,6000,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1940,1950,Gable,None,0,848,348,0,1196,0,1,1,1,3,1,Detchd,1973,Unf,2,576,Normal
1547,50,RM,6360,BrkSide,Feedr,Norm,1Fam,1.5Fin,5,6,1942,1950,Gable,Stone,300,955,498,0,1453,0,0,1,1,3,1,Detchd,1942,Unf,1,240,Normal
1548,50,RM,6000,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1948,1950,Gable,None,0,780,636,0,1416,0,0,1,1,3,1,Detchd,1948,Unf,1,312,Normal
1549,50,RM,6240,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1936,1980,Gable,None,0,548,492,0,1040,0,0,1,0,2,1,Detchd,1979,Fin,2,624,Normal
1550,50,RM,6240,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1930,1950,Gable,None,0,928,608,0,1536,0,0,2,0,4,1,Detchd,1930,Unf,2,480,Normal
1551,30,RM,6120,OldTown,Artery,Norm,1Fam,1Story,6,5,1923,1950,Gable,None,0,1068,0,0,1068,1,0,1,0,2,1,Detchd,1923,Unf,1,288,Normal
1552,50,RM,8094,OldTown,Norm,Norm,1Fam,1.5Fin,4,5,1915,1950,Gable,None,0,888,1074,0,1962,0,0,1,1,4,1,Detchd,1915,Unf,2,572,Normal
1553,70,RM,12900,OldTown,Norm,Norm,1Fam,2Story,6,8,1912,2009,Gable,None,0,780,780,0,1560,0,0,1,1,3,1,NA,NA,NA,0,0,Normal
1554,70,RM,3068,OldTown,Norm,Norm,1Fam,2Story,6,8,1920,1993,Gable,None,0,662,662,0,1324,0,1,1,0,3,1,Detchd,1920,Unf,1,180,Normal
1555,20,RL,15263,ClearCr,Feedr,Norm,1Fam,1Story,5,5,1959,1959,Gable,BrkFace,90,1675,0,0,1675,0,0,2,0,3,1,Attchd,1959,Unf,1,365,Normal
1556,50,RL,10632,ClearCr,Norm,Norm,1Fam,1.5Fin,5,3,1917,1950,Gable,None,0,725,499,0,1224,0,0,1,1,3,1,Detchd,1917,Unf,1,180,Normal
1557,190,RL,9900,SWISU,Norm,Norm,2fmCon,1.5Fin,5,4,1915,1950,Gable,None,0,1212,180,0,1392,1,0,1,0,3,1,NA,NA,NA,0,0,Normal
1558,50,RL,6001,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1940,1950,Gable,None,0,600,319,0,919,0,0,1,0,3,1,Detchd,1940,Unf,1,231,Normal
1559,70,C (all),6449,SWISU,Norm,Norm,1Fam,2Story,4,1,1907,1950,Gambrel,None,0,942,942,0,1884,0,0,1,1,4,1,NA,NA,NA,0,0,Abnorml
1560,190,RH,6048,SWISU,Artery,Norm,2fmCon,1.5Fin,5,7,1910,1950,Gable,None,0,936,744,0,1680,1,0,2,0,2,2,Detchd,1910,Unf,2,450,Normal
1561,90,RL,10773,Sawyer,Norm,Norm,Duplex,1Story,4,3,1967,1967,Gable,BrkFace,72,1832,0,0,1832,2,0,2,0,4,2,NA,NA,NA,0,0,Normal
1562,20,RL,7800,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,2008,Hip,BrkFace,47,892,0,0,892,1,0,1,0,3,1,Detchd,1966,Unf,1,416,Normal
1563,20,RL,7832,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Hip,None,0,864,0,0,864,1,0,1,0,2,1,Detchd,1969,Unf,1,280,Normal
1564,90,RL,7424,Sawyer,Norm,Norm,Duplex,SFoyer,5,5,1978,1978,Gable,None,0,1373,0,0,1373,1,0,1,0,3,1,Attchd,1978,Fin,2,591,Normal
1565,60,RL,11227,Sawyer,Norm,Norm,1Fam,2Story,5,5,1968,1968,Gable,None,0,720,720,0,1440,0,0,1,1,4,1,Attchd,1968,Unf,2,480,Normal
1566,20,RL,20062,ClearCr,Norm,Norm,1Fam,1Story,7,7,1977,2001,Hip,None,0,1483,0,0,1483,1,0,1,1,1,1,Attchd,1977,RFn,2,690,Normal
1567,30,RL,9259,Sawyer,Feedr,Norm,1Fam,1Story,4,4,1927,1950,Gable,None,0,756,0,0,756,0,0,1,0,2,1,Detchd,1945,Unf,2,440,Normal
1568,60,RL,17082,ClearCr,Norm,Norm,1Fam,2Story,6,5,1978,1992,Gable,BrkFace,288,1117,864,0,1981,1,0,2,1,4,1,Attchd,1978,Fin,2,522,Normal
1569,50,RL,18600,Edwards,Norm,Norm,1Fam,1.5Fin,3,4,1938,1990,Gable,None,0,1052,558,0,1610,0,1,2,0,4,1,Attchd,1938,RFn,1,480,Normal
1570,20,RL,11479,Edwards,Norm,Norm,1Fam,1Story,6,7,1950,1987,Gable,None,0,1074,0,0,1074,1,0,1,0,3,1,Attchd,1987,Unf,1,467,Normal
1571,50,RL,9350,Edwards,Norm,Norm,1Fam,1.5Fin,4,6,1947,1979,Gable,None,0,1169,0,362,1531,0,0,1,0,3,1,Detchd,1947,Unf,1,209,Normal
1572,20,RL,9525,Edwards,Norm,Norm,1Fam,1Story,5,7,1954,1998,Gable,None,0,1172,0,0,1172,1,0,1,0,3,1,Attchd,1954,Fin,1,366,Normal
1573,20,RL,17485,Edwards,Norm,Norm,1Fam,1Story,7,5,2009,2010,Gable,Stone,96,1508,0,0,1508,1,0,1,0,1,1,Attchd,2009,RFn,2,572,Partial
1574,20,RL,11200,Edwards,Norm,Norm,1Fam,1Story,5,3,1964,1964,Gable,None,0,1298,0,0,1298,0,0,2,0,3,1,Detchd,1964,Unf,2,504,Normal
1575,20,RL,11980,SawyerW,Norm,Norm,1Fam,1Story,7,5,1987,1987,Gable,BrkFace,177,1433,0,0,1433,1,0,1,1,1,1,Attchd,1987,RFn,2,528,Normal
1576,60,RL,12361,SawyerW,Norm,Norm,1Fam,2Story,6,7,1993,1993,Gable,BrkFace,85,964,838,0,1802,0,1,2,1,3,1,2Types,2000,RFn,4,1017,Normal
1577,20,RL,7360,CollgCr,Norm,Norm,1Fam,1Story,7,5,2010,2010,Gable,Stone,80,1222,0,0,1222,0,0,2,0,2,1,Attchd,2009,RFn,2,615,Normal
1578,50,RL,14235,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,None,0,831,614,0,1445,0,0,2,0,3,1,Detchd,1957,Unf,2,484,Normal
1579,85,RL,11105,CollgCr,Norm,Norm,1Fam,SFoyer,5,5,1996,1996,Gable,None,0,965,0,0,965,1,0,1,0,2,1,Attchd,1998,Unf,2,580,Normal
1580,60,RL,9337,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,None,0,892,800,0,1692,0,0,2,1,3,1,Attchd,1997,RFn,2,513,Normal
1581,20,RL,15240,CollgCr,Norm,Norm,1Fam,1Story,5,8,1977,2004,Gable,None,0,1026,0,0,1026,1,0,1,1,3,1,Attchd,1977,Unf,1,308,Normal
1582,20,RL,7480,CollgCr,Norm,Norm,1Fam,1Story,5,6,1972,1972,Gable,None,0,876,0,0,876,1,0,1,0,3,1,Detchd,1977,Unf,2,484,Normal
1583,20,RL,10389,CollgCr,Norm,Norm,1Fam,1Story,8,5,2003,2003,Hip,BrkFace,320,1978,0,0,1978,1,0,2,1,3,1,Attchd,2003,RFn,3,850,Normal
1584,60,RL,9375,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1997,Gable,None,0,1044,1054,0,2098,0,0,2,1,4,1,Attchd,1997,Fin,2,621,Normal
1585,120,RM,4435,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,2003,Gable,BrkFace,170,848,0,0,848,1,0,1,0,1,1,Attchd,2003,Fin,2,420,Normal
1586,30,RL,8777,Edwards,Feedr,Norm,1Fam,1Story,3,6,1945,2007,Gable,None,0,640,0,0,640,0,0,1,0,2,1,Detchd,1945,Unf,1,240,Normal
1587,20,RL,8842,Edwards,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,None,0,992,0,0,992,0,0,1,0,3,1,Detchd,1954,Unf,1,319,Abnorml
1588,20,RL,10044,Edwards,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,None,0,1196,0,0,1196,1,0,1,0,3,1,Attchd,1968,RFn,1,336,Normal
1589,50,RL,11792,Edwards,Norm,Norm,1Fam,1.5Fin,4,5,1948,1950,Gable,None,0,792,328,0,1120,0,0,1,0,2,1,Detchd,1956,Unf,2,480,Abnorml
1590,80,RL,6305,Edwards,Norm,Norm,1Fam,SLvl,6,6,1975,1975,Gable,None,0,1096,0,0,1096,1,0,1,0,3,1,Detchd,1975,Unf,1,352,Normal
1591,20,RL,6410,Edwards,Norm,Norm,1Fam,1Story,4,5,1958,1958,Hip,None,0,960,0,0,960,0,0,1,0,3,1,NA,NA,NA,0,0,Normal
1592,30,RL,4853,SWISU,Artery,Norm,1Fam,1Story,5,6,1924,1999,Gable,BrkFace,203,1296,0,0,1296,0,0,2,0,2,1,Detchd,1979,Unf,1,260,Normal
1593,30,RL,7890,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,None,0,856,0,0,856,1,0,1,0,2,1,Detchd,1939,Unf,2,399,Normal
1594,90,RH,7200,SWISU,Norm,Norm,Duplex,2Story,4,6,1967,1967,Flat,None,0,862,1788,0,2650,0,0,3,0,6,2,NA,NA,NA,0,0,Normal
1595,50,RL,9839,SWISU,Feedr,Norm,1Fam,1.5Fin,5,2,1931,1950,Gable,None,0,894,772,0,1666,1,0,1,0,3,1,NA,NA,NA,0,0,Normal
1596,50,RL,10452,Crawfor,Norm,Norm,1Fam,1.5Fin,7,6,1941,1985,Gable,BrkFace,371,1225,908,0,2133,1,0,1,1,4,1,Attchd,1941,Unf,1,312,Normal
1597,90,RL,15600,Crawfor,Norm,Norm,Duplex,2Story,5,6,1950,1991,Gable,BrkFace,430,1102,1075,0,2177,0,0,2,1,5,2,Detchd,1950,Unf,2,484,Normal
1598,80,RL,19645,Crawfor,Norm,Norm,1Fam,SLvl,7,6,1994,2007,Gable,BrkFace,44,896,756,0,1652,1,0,2,1,3,1,BuiltIn,1994,RFn,2,473,Normal
1599,120,RM,3907,Blueste,Norm,Norm,TwnhsE,1Story,8,6,1989,1989,Gable,None,0,1034,0,0,1034,1,0,1,0,1,1,Attchd,1989,Fin,2,598,Normal
1600,120,RM,3907,Blueste,Norm,Norm,TwnhsE,1Story,8,5,1989,1989,Gable,None,0,1191,0,0,1191,0,0,2,0,2,1,Attchd,1989,Unf,2,531,Normal
1601,30,RM,8154,IDOTRR,Norm,Norm,1Fam,1Story,2,5,1941,1950,Gable,None,0,540,0,0,540,0,0,1,0,1,1,Detchd,1951,Unf,1,200,Normal
1602,50,RM,9140,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,5,1921,1975,Gable,None,0,727,380,0,1107,0,0,1,0,2,1,Detchd,1950,Unf,1,625,Normal
